threshold_um,group,kept_frac,orphan_rate,mean_total_um_per_fov,mean_n_kept_per_fov
30.14,SLHi,0.9946600944752516,0.7394177162915548,95.7845144424462,16.99298245614035
30.14,SE1,0.9911942762795817,0.7484730705163798,37.17865574092781,6.796226415094339
30.14,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
32.15,neg_control,0.9932765575974899,0.819043321299639,12.709331505372482,3.2115942028985507
32.15,S-UNT,0.9938839210393117,0.7392522174595765,144.28762477336628,23.825075834175934
32.15,SLN1,0.9940119760479041,0.7327203551046291,64.2347266072344,11.066666666666666
32.15,SLHi,0.9963031423290203,0.7392290249433107,96.66276290294056,17.021052631578947
32.15,SE1,0.9928453494771602,0.7477827050997783,37.528441311373626,6.807547169811321
32.15,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
34.16,neg_control,0.9937247870909905,0.8191249436175011,12.758383383655893,3.2130434782608694
34.16,S-UNT,0.9952758562510545,0.7388540430581454,145.39225640475917,23.858442871587464
34.16,SLN1,0.9940119760479041,0.7327203551046291,64.2347266072344,11.066666666666666
34.16,SLHi,0.9969192852741836,0.7391841779975278,97.01290192791016,17.03157894736842
34.16,SE1,0.9928453494771602,0.7477827050997783,37.528441311373626,6.807547169811321
34.16,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
36.17,neg_control,0.994621246077992,0.8192879675529517,12.858224362851699,3.2159420289855074
36.17,S-UNT,0.9963725324784882,0.738506477012954,146.3240375332254,23.88473205257836
36.17,SLN1,0.9959029309801449,0.7319620253164557,64.969267897561,11.087719298245615
36.17,SLHi,0.997740809201068,0.7387813915191437,97.49870006112405,17.04561403508772
36.17,SE1,0.9928453494771602,0.7477827050997783,37.528441311373626,6.807547169811321
36.17,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
38.18,neg_control,0.9950694755714926,0.8193693693693693,12.911443085343628,3.217391304347826
38.18,S-UNT,0.9970052303020077,0.7382493548250624,146.88936271151135,23.89989888776542
38.18,SLN1,0.9968484084462653,0.7315839392981347,65.36027936087737,11.098245614035088
38.18,SLHi,0.9981515711645101,0.738477366255144,97.76491319909796,17.05263157894737
38.18,SE1,0.9944964226747386,0.7470946319867183,37.95210636666611,6.818867924528302
38.18,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
40.19,neg_control,0.9959659345584939,0.8195319531953196,13.025207196033659,3.2202898550724637
40.19,S-UNT,0.9976801079804285,0.7382150255781508,147.5225695663465,23.91607684529828
40.19,SLN1,0.9977938859123857,0.7315224257738471,65.77730868786757,11.108771929824561
40.19,SLHi,0.9987677141096735,0.7384330660086367,98.17915058190867,17.063157894736843
40.19,SE1,0.9950467804072647,0.7472345132743363,38.101204116148445,6.8226415094339625
40.19,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
42.2,neg_control,0.9964141640519946,0.819613135402609,13.08466541568919,3.2217391304347824
42.2,S-UNT,0.9980597266745402,0.7380610261178261,147.8979452583638,23.925176946410517
42.2,SLN1,0.9981090450677592,0.731607199242185,65.92300457876985,11.112280701754386
42.2,SLHi,0.9989730950913945,0.73828125,98.3219660280681,17.066666666666666
42.2,SE1,0.996147495872317,0.7469613259668508,38.40814836791681,6.830188679245283
42.2,SE2,1.0,0.7451612903225806,18.497371415849212,3.263157894736842
44.21,neg_control,0.997310623038996,0.8197752808988764,13.21127874803056,3.2246376811594204
44.21,S-UNT,0.9985237050784546,0.7380137709627002,148.3779947605869,23.936299292214358
44.21,SLN1,0.9987393633785061,0.7317765856737141,66.22788988698147,11.119298245614035
